Rank   Exmpl   DevAcc           ngram_order           kn_discount         laplace_alpha     min_context_count          max_contexts
  99   11/13   0.6110                     7                   0.9                   1.0                     3                500000
 100   11/13   0.6110                     7                   0.5                  0.01                     5                500000
 101   11/13   0.6110                     7                   0.5                   0.1                     5                500000
 102   11/13   0.6110                     7                   0.5                   1.0                     5                500000
 103   11/13   0.6110                     7                  0.75                  0.01                     5                500000
 104   11/13   0.6110                     7                  0.75                   0.1                     5                500000
 105   11/13   0.6110                     7                  0.75                   1.0                     5                500000
 106   11/13   0.6110                     7                   0.9                  0.01                     5                500000
 107   11/13   0.6110                     7                   0.9                   0.1                     5                500000
 108   11/13   0.6110                     7                   0.9                   1.0                     5                500000
 109   11/13   0.6100                     5                   0.5                  0.01                     2               1000000
 110   11/13   0.6100                     5                   0.5                   0.1                     2               1000000
 111   11/13   0.6100                     5                   0.5                   1.0                     2               1000000
 112   11/13   0.6100                     5                   0.5                  0.01                     3               1000000
 113   11/13   0.6100                     5                   0.5                   0.1                     3               1000000
 114   11/13   0.6100                     5                   0.5                   1.0                     3               1000000
 115   11/13   0.6100                     5                   0.5                  0.01                     5               1000000
 116   11/13   0.6100                     5                   0.5                   0.1                     5               1000000
 117   11/13   0.6100                     5                   0.5                   1.0                     5               1000000
 118   11/13   0.6080                     5                  0.75                  0.01                     2               1000000
 119   11/13   0.6080                     5                  0.75                   0.1                     2               1000000
 120   11/13   0.6080                     5                  0.75                   1.0                     2               1000000
 121   11/13   0.6080                     5                   0.9                  0.01                     2               1000000
 122   11/13   0.6080                     5                   0.9                   0.1                     2               1000000
 123   11/13   0.6080                     5                   0.9                   1.0                     2               1000000
 124   11/13   0.6080                     5                  0.75                  0.01                     3               1000000
 125   11/13   0.6080                     5                  0.75                   0.1                     3               1000000
 126   11/13   0.6080                     5                  0.75                   1.0                     3               1000000
 127   11/13   0.6080                     5                   0.9                  0.01                     3               1000000
 128   11/13   0.6080                     5                   0.9                   0.1                     3               1000000
 129   11/13   0.6080                     5                   0.9                   1.0                     3               1000000
 130   11/13   0.6080                     5                  0.75                  0.01                     5               1000000
 131   11/13   0.6080                     5                  0.75                   0.1                     5               1000000
 132   11/13   0.6080                     5                  0.75                   1.0                     5               1000000
 133   11/13   0.6080                     5                   0.9                  0.01                     5               1000000
 134   11/13   0.6080                     5                   0.9                   0.1                     5               1000000
 135   11/13   0.6080                     5                   0.9                   1.0                     5               1000000
 136   11/13   0.6070                     8                   0.5                  0.01                     2                500000
 137   11/13   0.6070                     8                   0.5                   0.1                     2                500000
 138   11/13   0.6070                     8                   0.5                   1.0                     2                500000
 139   11/13   0.6070                     8                  0.75                  0.01                     2                500000
 140   11/13   0.6070                     8                  0.75                   0.1                     2                500000
 141   11/13   0.6070                     8                  0.75                   1.0                     2                500000
 142   11/13   0.6070                     8                   0.9                  0.01                     2                500000
 143   11/13   0.6070                     8                   0.9                   0.1                     2                500000
 144   11/13   0.6070                     8                   0.9                   1.0                     2                500000
 145   11/13   0.6070                     8                   0.5                  0.01                     3                500000
 146   11/13   0.6070                     8                   0.5                   0.1                     3                500000
 147   11/13   0.6070                     8                   0.5                   1.0                     3                500000
 148   11/13   0.6070                     8                  0.75                  0.01                     3                500000
 149   11/13   0.6070                     8                  0.75                   0.1                     3                500000
 150   11/13   0.6070                     8                  0.75                   1.0                     3                500000
 151   11/13   0.6070                     8                   0.9                  0.01                     3                500000
 152   11/13   0.6070                     8                   0.9                   0.1                     3                500000
 153   11/13   0.6070                     8                   0.9                   1.0                     3                500000
 154   11/13   0.6070                     8                   0.5                  0.01                     5                500000
 155   11/13   0.6070                     8                   0.5                   0.1                     5                500000
 156   11/13   0.6070                     8                   0.5                   1.0                     5                500000
 157   11/13   0.6070                     8                  0.75                  0.01                     5                500000
 158   11/13   0.6070                     8                  0.75                   0.1                     5                500000
 159   11/13   0.6070                     8                  0.75                   1.0                     5                500000
 160   11/13   0.6070                     8                   0.9                  0.01                     5                500000
 161   11/13   0.6070                     8                   0.9                   0.1                     5                500000
 162   11/13   0.6070                     8                   0.9                   1.0                     5                500000
 163   10/13   0.6030                     6                  0.75                  0.01                     2                500000
 164   10/13   0.6030                     6                  0.75                   0.1                     2                500000
 165   10/13   0.6030                     6                  0.75                   1.0                     2                500000
 166   10/13   0.6030                     6                   0.9                  0.01                     2                500000
 167   10/13   0.6030                     6                   0.9                   0.1                     2                500000
 168   10/13   0.6030                     6                   0.9                   1.0                     2                500000
 169   10/13   0.6030                     6                  0.75                  0.01                     3                500000
 170   10/13   0.6030                     6                  0.75                   0.1                     3                500000
 171   10/13   0.6030                     6                  0.75                   1.0                     3                500000
 172   10/13   0.6030                     6                   0.9                  0.01                     3                500000
 173   10/13   0.6030                     6                   0.9                   0.1                     3                500000
 174   10/13   0.6030                     6                   0.9                   1.0                     3                500000
 175   10/13   0.6030                     6                  0.75                  0.01                     5                500000
 176   10/13   0.6030                     6                  0.75                   0.1                     5                500000
 177   10/13   0.6030                     6                  0.75                   1.0                     5                500000
 178   10/13   0.6030                     6                   0.9                  0.01                     5                500000
 179   10/13   0.6030                     6                   0.9                   0.1                     5                500000
 180   10/13   0.6030                     6                   0.9                   1.0                     5                500000
 181   10/13   0.6020                     6                   0.5                  0.01                     2                500000
 182   10/13   0.6020                     6                   0.5                   0.1                     2                500000
 183   10/13   0.6020                     6                   0.5                   1.0                     2                500000
 184   10/13   0.6020                     6                   0.5                  0.01                     3                500000
 185   10/13   0.6020                     6                   0.5                   0.1                     3                500000
 186   10/13   0.6020                     6                   0.5                   1.0                     3                500000
 187   10/13   0.6020                     6                   0.5                  0.01                     5                500000
 188   10/13   0.6020                     6                   0.5                   0.1                     5                500000
 189   10/13   0.6020                     6                   0.5                   1.0                     5                500000
 190   11/13   0.5880                     5                   0.5                  0.01                     2                500000
 191   11/13   0.5880                     5                   0.5                   0.1                     2                500000
 192   11/13   0.5880                     5                   0.5                   1.0                     2                500000
 193   11/13   0.5880                     5                   0.5                  0.01                     3                500000
 194   11/13   0.5880                     5                   0.5                   0.1                     3                500000
 195   11/13   0.5880                     5                   0.5                   1.0                     3                500000
 196   11/13   0.5880                     5                   0.5                  0.01                     5                500000
 197   11/13   0.5880                     5                   0.5                   0.1                     5                500000
 198   11/13   0.5880                     5                   0.5                   1.0                     5                500000
